PotID,Treatment,Tray
1,3,1
2,6,1
3,1,1
4,4,1
5,8,1
6,3,1
7,7,1
8,5,1
9,7,1
10,7,1
11,7,1
12,8,1
13,4,1
14,4,1
15,8,1
16,3,1
17,2,1
18,8,1
19,4,1
20,B,1
21,3,2
22,7,2
23,4,2
24,8,2
25,7,2
26,5,2
27,8,2
28,8,2
29,1,2
30,4,2
31,8,2
32,4,2
33,3,2
34,7,2
35,3,2
36,6,2
37,3,2
38,7,2
39,2,2
40,B,2
41,8,3
42,3,3
43,7,3
44,4,3
45,3,3
46,3,3
47,4,3
48,4,3
49,5,3
50,7,3
51,3,3
52,1,3
53,7,3
54,2,3
55,8,3
56,8,3
57,4,3
58,8,3
59,6,3
60,B,3
61,3,4
62,7,4
63,4,4
64,4,4
65,1,4
66,8,4
67,6,4
68,7,4
69,4,4
70,7,4
71,8,4
72,4,4
73,3,4
74,7,4
75,3,4
76,5,4
77,3,4
78,8,4
79,2,4
80,B,4
81,7,5
82,4,5
83,1,5
84,3,5
85,3,5
86,4,5
87,8,5
88,8,5
89,7,5
90,7,5
91,5,5
92,8,5
93,3,5
94,7,5
95,8,5
96,4,5
97,6,5
98,2,5
99,4,5
100,B,5
101,4,6
102,8,6
103,8,6
104,3,6
105,8,6
106,4,6
107,2,6
108,7,6
109,8,6
110,5,6
111,7,6
112,4,6
113,7,6
114,7,6
115,3,6
116,1,6
117,6,6
118,3,6
119,3,6
120,B,6
121,C,7
122,4,7
123,8,7
124,4,7
125,3,7
126,8,7
127,7,7
128,1,7
129,3,7
130,7,7
131,8,7
132,3,7
133,4,7
134,2,7
135,8,7
136,3,7
137,4,7
138,6,7
139,7,7
140,B,7
141,3,8
142,1,8
143,4,8
144,7,8
145,7,8
146,6,8
147,2,8
148,8,8
149,3,8
150,3,8
151,4,8
152,7,8
153,3,8
154,8,8
155,8,8
156,7,8
157,4,8
158,5,8
159,4,8
160,B,8
161,4,9
162,7,9
163,8,9
164,7,9
165,6,9
166,4,9
167,8,9
168,3,9
169,8,9
170,7,9
171,5,9
172,1,9
173,4,9
174,7,9
175,3,9
176,4,9
177,2,9
178,8,9
179,3,9
180,B,9
181,2,10
182,3,10
183,8,10
184,7,10
185,7,10
186,5,10
187,8,10
188,7,10
189,8,10
190,3,10
191,8,10
192,6,10
193,1,10
194,4,10
195,3,10
196,3,10
197,7,10
198,4,10
199,4,10
200,B,10
201,3,11
202,8,11
203,4,11
204,8,11
205,7,11
206,3,11
207,1,11
208,4,11
209,8,11
210,3,11
211,6,11
212,7,11
213,8,11
214,4,11
215,2,11
216,5,11
217,4,11
218,7,11
219,3,11
220,B,11
221,7,12
222,3,12
223,6,12
224,4,12
225,7,12
226,3,12
227,2,12
228,4,12
229,3,12
230,3,12
231,1,12
232,4,12
233,8,12
234,5,12
235,8,12
236,4,12
237,7,12
238,7,12
239,8,12
240,B,12
241,1,13
242,8,13
243,7,13
244,6,13
245,5,13
246,3,13
247,7,13
248,7,13
249,2,13
250,4,13
251,8,13
252,3,13
253,8,13
254,3,13
255,4,13
256,7,13
257,8,13
258,4,13
259,4,13
260,B,13
261,8,14
262,7,14
263,4,14
264,3,14
265,7,14
266,3,14
267,1,14
268,4,14
269,6,14
270,5,14
271,4,14
272,2,14
273,7,14
274,8,14
275,7,14
276,8,14
277,3,14
278,3,14
279,8,14
280,B,14
281,C,15
282,3,15
283,3,15
284,8,15
285,7,15
286,8,15
287,8,15
288,2,15
289,4,15
290,4,15
291,7,15
292,8,15
293,4,15
294,1,15
295,6,15
296,3,15
297,7,15
298,4,15
299,3,15
300,B,15
301,8,16
302,7,16
303,3,16
304,3,16
305,6,16
306,8,16
307,7,16
308,5,16
309,4,16
310,8,16
311,4,16
312,7,16
313,3,16
314,4,16
315,3,16
316,1,16
317,2,16
318,4,16
319,7,16
320,B,16
